,好き,洒落,特色,動的,明い,強い,固い,安定,小い
ニセコヒ,5,5,6,3,3,3,5,3,2
志賀高原,7,6,6,6,6,5,5,6,2
万座温泉,3,3,3,3,3,3,5,5,3
グランデ,5,5,5,5,5,5,5,5,3
トマムリ,3,3,3,5,5,6,2,3,5
上越国際,6,6,6,2,2,3,2,3,6
安比高原,5,6,6,5,5,5,5,5,2
野沢温泉,2,2,3,2,1,2,5,6,2
蔵王スキ,3,2,2,2,3,3,6,6,2
舞子後楽,7,6,6,2,2,2,2,3,7
浦佐スキ,1,2,3,2,2,2,7,7,1
八方尾根,6,6,5,2,2,3,6,6,2
天神山ス,6,5,6,5,6,5,3,3,5
みつまた,2,2,2,3,2,3,6,5,3
猫魔スキ,6,6,5,5,5,3,2,5,5
五竜とお,1,2,3,1,2,2,2,2,5
白馬スキ,2,3,2,6,5,5,2,2,5
栂池スキ,1,2,2,6,6,6,1,2,5
赤倉温泉,3,2,3,3,3,3,6,6,1
妙高杉原,3,2,3,2,3,2,3,2,6
戸隠スキ,1,2,3,1,3,2,6,6,3
菅平スキ,3,2,2,2,2,3,6,5,3
猪苗代ス,5,5,5,2,2,3,6,5,3
軽井沢ス,6,6,7,6,6,5,3,3,5
