é–âÔìIäOåê´,äàìÆê´,ã§ä¥ê´,êiéÊê´,éùãvê´,ãKó•ê´,ãïç\ê´,é©å»äJé¶ê´,çUåÇê´,îÒã¶í≤ê´,óÚìôä¥,ê_åoéø,ó}üTê´
19, 18, 14, 14,  8, 18, 10, 16,  4,  2,  7, 16,  6
 8, 12,  8, 20, 14, 16,  6, 14, 12,  6,  6, 12,  4
10, 16,  7, 11,  7,  8,  5,  7,  8,  9,  2,  6,  3
 7,  8, 10,  4, 18,  8,  4,  3,  3,  6,  3,  3,  0
 8,  2,  8, 14,  4, 10,  8,  4, 12,  6, 14, 14, 17
15, 12, 17, 19, 15,  8,  0, 12,  8,  7, 16,  9, 10
14, 14, 20, 20, 20, 20, 10,  6,  0,  0,  8,  8,  2
 8,  6, 18,  6,  0,  6,  0, 12, 12,  8, 18, 18, 14
10,  8, 14, 18, 14, 20,  2, 16, 20,  6,  6, 20, 16
 2,  7,  5, 11,  6,  6,  9,  3, 10,  5,  5,  8,  7
 4,  4, 10, 10,  4,  2,  6, 14,  3, 14, 19, 15, 20
11, 10, 18, 19, 10,  3,  3, 11,  6,  3,  8,  9, 10
16,  9, 14,  9,  2,  0,  4,  9,  5,  7,  9,  5,  4
 2,  2,  6, 12,  2,  2,  0,  8,  8, 14, 18, 14, 18
18, 19, 12, 18, 18, 15,  2,  2,  7, 12,  0, 12,  5
 4,  4,  8, 10,  2,  8,  2, 12, 12, 14, 14, 14, 16
 6,  4,  2, 10, 10,  0,  2,  6, 14, 18,  8,  0,  4
 6, 12, 20,  9, 18, 20,  4,  9,  2,  2,  8,  8,  1
 9,  2, 14,  6,  3,  4, 13,  2,  1,  0,  3, 10,  4
12,  3,  6,  2,  1,  0,  2,  2,  3,  3,  4,  2,  4
14, 14, 19, 12, 20, 16, 17,  3,  0,  0,  7,  4,  1
 7,  9, 14, 12, 15,  8, 12,  2,  0,  0,  4,  4,  4
 4,  8, 16, 10,  8,  2,  4,  8, 10,  4,  6,  8,  2
 5,  7, 16, 18, 11,  4,  7,  2,  9,  1,  7, 11,  3
11,  8, 13, 10, 15, 11,  7,  8, 10, 13, 11, 16, 14
12,  9, 14,  2,  0,  8,  4,  4,  7,  8, 14,  6,  0
12,  8, 16, 16, 14, 14,  2, 14,  6, 10, 14, 20, 10
10, 10, 15, 18, 18, 14,  3, 12, 12,  2,  5, 12, 14
 4,  1,  6, 11,  9,  2,  4,  5,  3,  4, 10, 10,  7
10, 10, 12, 15, 13, 16,  6,  5, 14,  9, 11, 16, 12
13, 15, 18,  8,  6,  2,  4,  6,  8,  2, 12, 16,  8
 8,  6,  7,  5,  8, 12,  3,  5, 12, 13, 11, 13, 16
 4,  8, 16, 18,  9, 12,  6, 10, 10,  4, 10, 18, 10
20, 18, 14, 12, 18, 16, 12, 12,  4,  6,  4,  0,  4
