嫌い しゃれ ありきたり 静的 明るい 弱い 柔らか 安定 小さい ゲレンデ
 2 4 1 4 2 4 2 2 1 ニセコ　　　　
 0 5 1 1 5 2 2 5 1 志賀高原　　　
 4 2 4 4 2 4 2 4 2 万座温泉　　　
 2 4 2 2 4 2 2 4 2 グランデコ　　
 4 2 4 2 4 1 5 2 4 トマム　　　　
 1 5 1 5 1 4 5 2 5 上越国際　　　
 2 5 1 2 4 2 2 4 1 安比高原　　　
 5 1 4 5 0 5 2 5 1 野沢温泉　　　
 4 1 5 5 2 4 1 5 1 蔵王　　　　　
 0 5 1 5 1 5 5 2 6 舞子後楽園　　
 6 1 4 5 1 5 0 6 0 浦佐　　　　　
 1 5 2 5 1 4 1 5 1 八方尾根　　　
 1 4 1 2 5 2 4 2 4 天神山　　　　
 5 1 5 4 1 4 1 4 2 みつまたかぐら
 1 5 2 2 4 4 5 4 4 猫魔　　　　　
 6 1 4 6 1 5 5 1 4 五竜とおみ　　
 5 2 5 1 4 2 5 1 4 白馬　　　　　
 6 1 5 1 5 1 6 1 4 栂池　　　　　
 4 1 4 4 2 4 1 5 0 赤倉温泉　　　
 4 1 4 5 2 5 4 1 5 妙高杉の原　　
 6 1 4 6 2 5 1 5 2 戸隠　　　　　
 4 1 5 5 1 4 1 4 2 菅平　　　　　
 2 4 2 5 1 4 1 4 2 猪苗代　　　　
 1 5 0 1 5 2 4 2 4 軽井沢　　　　
